LAT,LNG,CLS
44.81665,20.46689,1
44.72036,20.40963,7
44.80227,20.34214,11
44.81212,20.50554,1
44.79549,20.49338,1
44.84747,20.41067,11
44.84154,20.38828,11
44.81209,20.44327,11
44.373656,20.644967,3
44.783887,20.4338,7
44.809099,20.475631,1
44.75891,20.41573,7
44.80352,20.47441,1
44.80324,20.48097,1
44.786224,20.52982,1
44.7887,20.47695,1
44.757873,20.556212,10
44.75447,20.41162,7
44.80787,20.46184,1
44.80148,20.46497,1
44.83363,20.34566,11
44.76695,20.49612,1
44.64052,20.51786,10
44.75371,20.47746,1
44.81218,20.42344,11
44.79013,20.42251,7
44.81822,20.48932,1
44.74564,20.45587,7
44.82463,20.41249,11
44.774817,20.408539,7
44.8237,20.41387,11
44.80824,20.42148,11
44.83046,20.41179,11
44.71685,20.51679,10
44.82101,20.46481,1
44.78209,20.4832,1
44.81523,20.49207,1
44.448147,20.699956,3
44.81664,20.46531,1
44.79227,20.46263,1
44.73852,20.38212,12
44.88516,20.31756,0
44.78671,20.46679,1
44.79488,20.33084,8
44.85412,20.5434,1
44.89069,20.46054,9
44.52087,20.5744,14
44.77112,20.47829,1
44.81893,20.49059,1
44.80468,20.3656,11
44.811008,20.447785,1
44.797455,20.450278,1
44.84106,20.49092,1
44.73843,20.42069,7
44.78816,20.47501,1
44.813,20.51314,1
44.81334,20.45966,1
44.82261,20.39781,11
44.8175,20.52053,1
44.81757,20.48422,1
44.79989,20.44646,1
44.80814,20.363,11
44.85104,20.53122,1
44.79967,20.45078,1
44.8877,20.46081,9
44.78044,20.47272,1
44.81317,20.463276,1
44.81533,20.47544,1
44.442111,20.69195,3
44.80221,20.46672,1
44.78335,20.50266,1
44.81077,20.4155,11
44.82182,20.45626,1
44.82101,20.41469,11
44.84885,20.40364,11
44.87447,20.33045,0
44.47338,20.27687,5
44.81577,20.49113,1
44.83142,20.36279,11
44.71582,20.49314,10
44.82605,20.39281,11
44.79698,20.46823,1
44.8089,20.5128,1
44.68124,20.38591,12
44.78199,20.49498,1
44.87053,20.35137,11
44.78571,20.50843,1
44.75785,20.57302,10
44.777548,20.474509,1
44.80402,20.45801,1
44.81699,20.38447,11
44.79855,20.49158,1
44.81533,20.46489,1
44.793,20.49975,1
44.78441,20.49494,1
44.66697,20.15575,4
44.76652,20.24597,8
44.82489,20.49141,1
44.77471,20.53589,1
44.74017,20.42261,7
44.81774,20.47847,1
44.80931,20.45893,1
44.82023,20.39586,11
44.84263,20.41286,11
44.748221,20.460667,7
44.80132,20.49335,1
44.80376,20.49451,1
44.77312,20.55274,10
44.872005,20.334478,0
44.79911,20.46198,1
44.838045,20.380271,11
44.8097,20.42956,11
44.78993,20.36195,11
44.81443,20.4394,11
44.8207,20.3957,11
44.81429,20.46715,1
44.75128,20.48088,1
44.8004,20.45004,1
44.78233,20.42233,7
44.727251,20.419585,7
44.792698,20.515916,1
44.8006,20.52733,1
44.787055,20.465781,1
44.80829,20.41995,11
44.59674,20.56779,14
44.85999,20.37615,11
44.73416,20.42591,7
44.82084,20.39353,11
44.7273,20.36896,12
44.83103,20.37348,11
44.78562,20.46815,1
